日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,产品类型编码,产品类型,大类资产编码,大类资产,行业编码,行业,抓取状态,抓取备注
2026-04-21,药明康德,603259,300.0,29972.0,98.55,29565.0,-407.0,-0.0136,https://gu.qq.com/sh603259/gp,1,股票,1,A股,2,医药,ok,98.55 (tencent-api:sh603259)
2026-04-21,恒生科技ETF大成,159740,62200.0,40265.0,0.638,39683.6,-581.4,-0.0144,https://gu.qq.com/sz159740,2,场内ETF,2,港股,3,科技,ok,0.638 (tencent-api:sz159740)
2026-04-21,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.878,41792.8,1784.8,0.0446,https://gu.qq.com/sz159131,2,场内ETF,2,港股,3,科技,ok,0.878 (tencent-api:sz159131)
2026-04-21,A500ETF易方达,159361,10000.0,12060.0,1.284,12840.0,780.0,0.0647,https://gu.qq.com/sz159361,2,场内ETF,1,A股,1,宽基指数,ok,1.284 (tencent-api:sz159361)
2026-04-21,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.742,29680.0,-200.0,-0.0067,https://gu.qq.com/sz159928,2,场内ETF,1,A股,4,消费,ok,0.742 (tencent-api:sz159928)
2026-04-21,信澳新能源产业股票,001410,13959.13,45888.0,5.931,82791.60003,36903.60003,0.8042,https://gu.qq.com/jj001410,3,主动基金,1,A股,3,科技,ok,5.931 (tencent-api:jj001410)
2026-04-21,兴全合宜混合,163417,30676.56,40400.0,2.1101,64730.609256,24330.609256,0.6022,https://gu.qq.com/jj163417,3,主动基金,2,港股,3,科技,ok,2.1101 (tencent-api:jj163417)
2026-04-21,易方达亚洲精选股票,118001,21947.58,21000.0,1.596,35028.33768,14028.33768,0.668,https://gu.qq.com/jj118001,3,主动基金,2,港股,3,科技,ok,1.596 (tencent-api:jj118001)
2026-04-21,工银前沿医疗股票,001717,17089.31,51634.0,3.123,53369.91513,1735.91513,0.0336,https://gu.qq.com/jj001717,3,主动基金,1,A股,2,医药,ok,3.123 (tencent-api:jj001717)
2026-04-21,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7667,42385.942053,-2014.057947,-0.0454,https://gu.qq.com/jj005827,3,主动基金,2,港股,4,消费,ok,1.7667 (tencent-api:jj005827)
2026-04-21,东方财富,300059,1000.0,20010.0,19.94,19940.0,-70.0,-0.0035,https://gu.qq.com/sz300059/gp,1,股票,1,A股,,,ok,19.94 (tencent-api:sz300059)
2026-04-21,黄金ETF,518880,1000.0,10005.0,10.01,10010.0,5.0,0.0005,https://gu.qq.com/sh518880,2,场内ETF,6,黄金,,,ok,10.01 (tencent-api:sh518880)
2026-04-21,cash_total,CASH,1,52086.27,1,52086.27,0,0,,,现金,9,现金,,,ok,cash_accounts=2
2026-04-21,__TOTAL__,,,430000.0,,513904.074149,83904.074149,0.1951,,,,,,,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=52086.27; cost_total=430000.0; daily_net_flow=0.0; cashflow_count=2; success=12; error=0
